StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_13,Process_11,2022-02-22T10:58:26+00:00,Press button in window,Button 'Type here to search' in TaskBar,,,"[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]",2.0,Open the converter,Event_55,Press button in window
1,Recording_13,Process_11,2022-02-22T10:58:34+00:00,Populate text field in window,Edit 'Search box' in Window 'Search'; Text:'text to',SearchApp,Search,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'text to' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",3.0,Open the converter,Event_55,SearchAppPopulate text field in window
2,Recording_13,Process_11,2022-02-22T10:58:40+00:00,Click UI element in window,List Item 'Any Text  ...  to switch preview' in Window 'Search',SearchApp,Search,"[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Any Text  ...  to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -27 OffsetY: -19 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",4.0,Open the converter,Event_55,SearchAppClick UI element in window
3,Recording_13,Process_11,2022-02-22T10:58:45+00:00,Press button in window,Button 'Button' in Window 'Any Text to Voice',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.PressButton Button: appmask['Window \\'Any Text to Voice\\'']['Button \\'Button\\'']\n""]",5.0,Browse the file,Event_56,ApplicationFrameHostPress button in window
4,Recording_13,Process_11,2022-02-22T10:58:50+00:00,Click UI element in window,Edit 'Name' in Window 'Any Text to Voice',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.Click Element: appmask['Window \\'Any Text to Voice\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -37 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6.0,Browse the file,Event_56,ApplicationFrameHostClick UI element in window
5,Recording_13,Process_11,2022-02-22T10:58:53+00:00,Press button in window,Button 'Open' in Window 'Any Text to Voice',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.PressButton Button: appmask['Window \\'Any Text to Voice\\'']['Button \\'Open\\'']\n""]",7.0,Browse the file,Event_56,ApplicationFrameHostPress button in window
6,Recording_13,Process_11,2022-02-22T10:59:01+00:00,Press button in window,Button 'Button' 2 in Window 'Any Text to Voice',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.PressButton Button: appmask['Window \\'Any Text to Voice\\'']['Button \\'Button\\' 2']\n""]",8.0,Convert it to audio format,Event_57,ApplicationFrameHostPress button in window
7,Recording_13,Process_11,2022-02-22T10:59:12+00:00,Populate text field in window,Edit 'File name:' in Window 'Any Text to Voice'; Text:'Poem',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Any Text to Voice\\'']['Edit \\'File name:\\''] Text: 'Poem' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",9.0,Convert it to audio format,Event_57,ApplicationFrameHostPopulate text field in window
8,Recording_13,Process_11,2022-02-22T10:59:17+00:00,Press button in window,Button 'Save' in Window 'Any Text to Voice',ApplicationFrameHost,Any Text to Voice,"[""UIAutomation.PressButton Button: appmask['Window \\'Any Text to Voice\\'']['Button \\'Save\\'']\n""]",11.0,Convert it to audio format,Event_57,ApplicationFrameHostPress button in window
9,Recording_13,Process_11,2022-02-22T10:59:28+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",12.0,Open the podcasting app.,Event_58,Press button in window
10,Recording_13,Process_11,2022-02-22T10:59:31+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Watchlist - Distill — Mozilla Firefox',firefox,Watchlist - Distill — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Watchlist - Distill — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",13.0,Open the podcasting app.,Event_58,firefoxPress button in window
11,Recording_13,Process_11,2022-02-22T10:59:44+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'rss podcast',firefox,Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'rss podcast' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",14.0,Open the podcasting app.,Event_58,firefoxPopulate text field in window
12,Recording_13,Process_11,2022-02-22T10:59:46+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",15.0,Open the podcasting app.,Event_58,Send keys
13,Recording_13,Process_11,2022-02-22T10:59:52+00:00,Click UI element in window,Hyperlink 'RSS.com:  ...  Freehttps://rss.com' in Window 'rss podcast - Google Search — Mozilla Firefox',firefox,rss podcast - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'rss podcast - Google Search — Mozilla Firefox\\'']['Hyperlink \\'RSS.com:  ...  Freehttps://rss.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -28 OffsetY: -14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",16.0,Open the podcasting app.,Event_58,firefoxClick UI element in window
14,Recording_13,Process_11,2022-02-22T11:00:00+00:00,Click UI element in window,Hyperlink 'Sign In' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Hyperlink \\'Sign In\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -5 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",17.0,Open the podcasting app.,Event_58,firefoxClick UI element in window
15,Recording_13,Process_11,2022-02-22T11:00:14+00:00,Populate text field in window,Edit in Window 'RSS Podcast  ...  — Mozilla Firefox'; Text:'Email@Domain',firefox,RSS Podcast Hosting - Set Up Your Podcast in Less Than 3 Minutes | RSS Podcasting — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'RSS Podcast  ...  — Mozilla Firefox\\'']['Edit'] Text: 'Email@Domain' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",18.0,Open the podcasting app.,Event_58,firefoxPopulate text field in window
16,Recording_13,Process_11,2022-02-22T11:00:18+00:00,Populate text field in window,Edit 2 in Window 'RSS Podcast  ...  — Mozilla Firefox'; Text:P'password_secret_text',firefox,RSS Podcast Hosting - Set Up Your Podcast in Less Than 3 Minutes | RSS Podcasting — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'RSS Podcast  ...  — Mozilla Firefox\\'']['Edit 2'] Text: P'password_secret_text' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",19.0,Open the podcasting app.,Event_58,firefoxPopulate text field in window
17,Recording_13,Process_11,2022-02-22T11:00:24+00:00,Press button in window,Button 'Sign In' in Window 'RSS Podcast  ...  — Mozilla Firefox',firefox,RSS Podcast Hosting - Set Up Your Podcast in Less Than 3 Minutes | RSS Podcasting — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'RSS Podcast  ...  — Mozilla Firefox\\'']['Button \\'Sign In\\'']\n""]",20.0,Open the podcasting app.,Event_58,firefoxPress button in window
18,Recording_13,Process_11,2022-02-22T11:00:36+00:00,Press button in window,Button ' New podcast' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Button \\'\uf067 New podcast\\'']\n""]",21.0,Generate a new podcast,Event_59,firefoxPress button in window
19,Recording_13,Process_11,2022-02-22T11:00:51+00:00,Populate text field in window,Edit in Window 'Start Your  ...  — Mozilla Firefox'; Text:'Kinder garden poem',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit'] Text: 'Kinder garden poem' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",22.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
20,Recording_13,Process_11,2022-02-22T11:01:02+00:00,Populate text field in window,Edit 2 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'poem for school kids',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 2'] Text: 'poem for school kids' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",23.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
21,Recording_13,Process_11,2022-02-22T11:01:15+00:00,Populate text field in window,Edit 3 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'poemfatherfinger',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 3'] Text: 'poemfatherfinger' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",24.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
22,Recording_13,Process_11,2022-02-22T11:01:24+00:00,Set drop-down list value in window,Combo Box in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.SetDropDownListValueInWindow.SetDropDownListValueByName DropDownList: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Combo Box'] OptionsNames: 'English'\n""]",25.0,Generate a new podcast,Event_59,firefoxSet drop-down list value in window
23,Recording_13,Process_11,2022-02-22T11:01:34+00:00,Press button in window,Button 'Next' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Button \\'Next\\'']\n""]",26.0,Generate a new podcast,Event_59,firefoxPress button in window
24,Recording_13,Process_11,2022-02-22T11:01:42+00:00,Populate text field in window,Edit 4 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'Name Surname',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 4'] Text: 'Name Surname' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",27.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
25,Recording_13,Process_11,2022-02-22T11:01:52+00:00,Populate text field in window,Edit 5 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'Email@Domain',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 5'] Text: 'Email@Domain' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",28.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
26,Recording_13,Process_11,2022-02-22T11:01:59+00:00,Populate text field in window,Edit 6 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'JD2022',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 6'] Text: 'JD2022' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",29.0,Generate a new podcast,Event_59,firefoxPopulate text field in window
27,Recording_13,Process_11,2022-02-22T11:02:03+00:00,Press button in window,Button 'Next' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Button \\'Next\\'']\n""]",30.0,Generate a new podcast,Event_59,firefoxPress button in window
28,Recording_13,Process_11,2022-02-22T11:02:09+00:00,Click UI element in window,Edit 4 in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 4'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 145 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",31.0,Generate a new podcast,Event_59,firefoxClick UI element in window
29,Recording_13,Process_11,2022-02-22T11:02:14+00:00,Click UI element in window,List Item 'Performing Arts' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['List Item \\'Performing Arts\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 81 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",32.0,Generate a new podcast,Event_59,firefoxClick UI element in window
30,Recording_13,Process_11,2022-02-22T11:02:20+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",33.0,Generate a new podcast,Event_59,Send keys
31,Recording_13,Process_11,2022-02-22T11:02:27+00:00,Press button in window,Button 'Next' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Button \\'Next\\'']\n""]",34.0,Generate a new podcast,Event_59,firefoxPress button in window
32,Recording_13,Process_11,2022-02-22T11:02:40+00:00,Click UI element in window,Hyperlink ' New episode' in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Hyperlink \\'\uf067 New episode\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 37 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",35.0,Publish the audio file as new podcast.,Event_60,firefoxClick UI element in window
33,Recording_13,Process_11,2022-02-22T11:02:54+00:00,Populate text field in window,Edit 7 in Window 'Start Your  ...  — Mozilla Firefox'; Text:'Father finger poem',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['Edit 7'] Text: 'Father finger poem' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",36.0,Publish the audio file as new podcast.,Event_60,firefoxPopulate text field in window
34,Recording_13,Process_11,2022-02-22T11:02:58+00:00,Click UI element in window,UI Custom in Window 'Start Your  ...  — Mozilla Firefox',firefox,Start Your Podcast for Free - RSS.com — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Start Your  ...  — Mozilla Firefox\\'']['UI Custom'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 106 OffsetY: 14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",37.0,Publish the audio file as new podcast.,Event_60,firefoxClick UI element in window
35,Recording_13,Process_11,2022-02-22T11:03:00+00:00,Send keys,TextToSend:'{LShiftKey}(P)oem for school kids',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LShiftKey}(P)oem{Space}for{Space}school{Space}kids'\n""]",38.0,Publish the audio file as new podcast.,Event_60,Send keys
